robustness_rank,normal_observations,normal_failures,normal_failure_rate,elevated_observations,elevated_share,elevated_failures,elevated_failure_rate,elevated_rate_lift_vs_normal,elevated_failure_capture,odds_ratio,fisher_p_value,2005_2012_elevated_observations,2005_2012_elevated_failures,2005_2012_elevated_failure_rate,2005_2012_normal_failure_rate,2005_2012_lift,2013_2019_elevated_observations,2013_2019_elevated_failures,2013_2019_elevated_failure_rate,2013_2019_normal_failure_rate,2013_2019_lift,2020_2026_elevated_observations,2020_2026_elevated_failures,2020_2026_elevated_failure_rate,2020_2026_normal_failure_rate,2020_2026_lift,rolling4w_atr_threshold,weekly_atr_threshold,sma_length_weeks,elevated_score_cutoff,higher_risk_subperiods,minimum_subperiod_lift,median_subperiod_lift,cluster_tests_higher,cluster_test_count,minimum_cluster_removal_lift,median_cluster_removal_lift,is_anchor_definition,classification
160,485,5,0.010309278350515464,615,0.5590909090909091,15,0.024390243902439025,2.3658536585365857,0.75,2.4,0.11072321744909086,228,8,0.03508771929824561,0.005847953216374269,6.0,189,1,0.005291005291005291,0.011363636363636364,0.4656084656084656,198,6,0.030303030303030304,0.014492753623188406,2.090909090909091,1.15,1.15,50,1,2,0.4656084656084656,2.090909090909091,13,13,1.7629139072847682,2.240924092409241,False,Supportive
161,485,5,0.010309278350515464,615,0.5590909090909091,15,0.024390243902439025,2.3658536585365857,0.75,2.4,0.11072321744909086,228,8,0.03508771929824561,0.005847953216374269,6.0,192,1,0.005208333333333333,0.011560693641618497,0.4505208333333333,195,6,0.03076923076923077,0.014184397163120567,2.1692307692307695,1.2,1.1,50,1,2,0.4505208333333333,2.1692307692307695,13,13,1.7629139072847682,2.240924092409241,False,Supportive
162,485,5,0.010309278350515464,615,0.5590909090909091,15,0.024390243902439025,2.3658536585365857,0.75,2.4,0.11072321744909086,227,8,0.03524229074889868,0.005813953488372093,6.061674008810574,194,1,0.005154639175257732,0.011695906432748537,0.44072164948453607,194,6,0.030927835051546393,0.014084507042253521,2.195876288659794,1.2,1.1,40,1,2,0.44072164948453607,2.195876288659794,13,13,1.7563636363636363,2.240924092409241,False,Supportive
163,560,6,0.010714285714285714,540,0.4909090909090909,14,0.025925925925925925,2.419753086419753,0.7,2.4575411913814955,0.07136549635305624,200,7,0.035,0.010050251256281407,3.4825000000000004,169,1,0.005917159763313609,0.01020408163265306,0.5798816568047338,171,6,0.03508771929824561,0.012121212121212121,2.894736842105263,1.25,1.2,30,1,2,0.5798816568047338,2.894736842105263,13,13,1.7482736974262396,2.2849968612680476,False,Supportive
164,558,6,0.010752688172043012,542,0.49272727272727274,14,0.025830258302583026,2.402214022140221,0.7,2.4393939393939394,0.07210479557085603,204,7,0.03431372549019608,0.010256410256410256,3.3455882352941178,169,1,0.005917159763313609,0.01020408163265306,0.5798816568047338,169,6,0.03550295857988166,0.011976047904191617,2.964497041420118,1.3,1.2,45,1,2,0.5798816568047338,2.964497041420118,13,13,1.7418546365914784,2.268292682926829,False,Supportive
165,482,5,0.01037344398340249,618,0.5618181818181818,15,0.024271844660194174,2.3398058252427183,0.75,2.373134328358209,0.11138154532461794,229,8,0.034934497816593885,0.0058823529411764705,5.93886462882096,191,1,0.005235602094240838,0.011494252873563218,0.4554973821989529,198,6,0.030303030303030304,0.014492753623188406,2.090909090909091,1.15,1.15,45,1,2,0.4554973821989529,2.090909090909091,13,13,1.736842105263158,2.2160919540229886,False,Supportive
166,558,6,0.010752688172043012,542,0.49272727272727274,14,0.025830258302583026,2.402214022140221,0.7,2.4393939393939394,0.07210479557085603,199,7,0.035175879396984924,0.01,3.517587939698492,170,1,0.0058823529411764705,0.010256410256410256,0.5735294117647058,173,6,0.03468208092485549,0.012269938650306749,2.8265895953757223,1.25,1.2,35,1,2,0.5735294117647058,2.8265895953757223,13,13,1.7354596622889307,2.268292682926829,False,Supportive
167,481,5,0.010395010395010396,619,0.5627272727272727,15,0.024232633279483037,2.331179321486268,0.75,2.3642384105960264,0.1116493249996145,230,8,0.034782608695652174,0.005917159763313609,5.878260869565217,194,1,0.005154639175257732,0.011695906432748537,0.44072164948453607,195,6,0.03076923076923077,0.014184397163120567,2.1692307692307695,1.2,1.1,45,1,2,0.44072164948453607,2.1692307692307695,13,13,1.7303776683087027,2.207868852459016,False,Supportive
168,553,6,0.0108499095840868,547,0.49727272727272726,14,0.025594149908592323,2.3589274832419256,0.7,2.3946216385240775,0.07427615460987097,203,7,0.034482758620689655,0.01020408163265306,3.3793103448275863,170,1,0.0058823529411764705,0.010256410256410256,0.5735294117647058,174,6,0.034482758620689655,0.012345679012345678,2.793103448275862,1.25,1.2,50,1,2,0.5735294117647058,2.793103448275862,13,13,1.716417910447761,2.227075588599752,False,Supportive
169,552,6,0.010869565217391304,548,0.49818181818181817,14,0.025547445255474453,2.3503649635036497,0.7,2.385767790262172,0.07476589865921698,204,7,0.03431372549019608,0.010256410256410256,3.3455882352941178,172,1,0.005813953488372093,0.010362694300518135,0.561046511627907,172,6,0.03488372093023256,0.012195121951219513,2.8604651162790695,1.25,1.2,40,1,2,0.561046511627907,2.8604651162790695,13,13,1.7038413878562577,2.2189239332096475,False,Supportive
170,548,6,0.010948905109489052,552,0.5018181818181818,14,0.025362318840579712,2.316425120772947,0.7,2.3506815365551423,0.11206583650236142,206,7,0.03398058252427184,0.010362694300518135,3.2791262135922326,172,1,0.005813953488372093,0.010362694300518135,0.561046511627907,174,6,0.034482758620689655,0.012345679012345678,2.793103448275862,1.25,1.2,45,1,2,0.561046511627907,2.793103448275862,13,13,1.6789667896678966,2.1866175567833026,False,Supportive
